etiqueta,mensaje,,,
ham,¿Aun así puedes ir de compras estando enfermo?,,,
ham,"Sí, están bien y perfectos. BBD (pooja) llena de granos... incluso se ha vuelto bastante negra... y tienes razón, aquí hace demasiado frío, lleva un suéter.",,,
ham,Bien. Bien. ¿Cómo funciona?,,,
ham,"1 llega a casa, llámame.",,,
ham,Estamos intentando encontrar un restaurante de comida china por aquí.,,,
ham,"Tranquilo, colega, *supongo que lo de la copa rápida fue un poco ambicioso.",,,
ham,"¡¡¡Cariño!!! ¡Te extraño muchísimo! ¡Te necesito! ¡Te anhelo! :-( ... Dios mío... Estoy tan triste sin ti, cariño... Te amo...",,,
ham,"Vale, gracias...",,,
ham,"Aathi... ¿dónde estás, querida?",,,
ham,"Tunji, ¿cómo está la reina? ¿Cómo te encuentras? Solo quería desearte un buen día. Abiola.",,,
ham,"Hoy es el día de la rosa amarilla. Si amas mi amistad, hazme una llamada perdida y envía esto a tus amigos y mira cuántas llamadas perdidas recibes. Si recibes 6 llamadas perdidas, te casas con tu amante.",,,
ham,Saldré de clase en unas horas. Lo siento.,,,
ham,¿A qué hora terminas tu clase hoy?,,,
spam,"Mensaje gratuito: ¡Jamster! ¡Consigue ya el sonido de la rana loca! Para poliamor, envía MAD1; para real, envía MAD2 al 88888. ¡6 sonidos locos por solo 3 GBP/semana! ¡Solo para mayores de 16 años! Se aplican términos y condiciones.",,,
ham,"Triste historia de un hombre: la semana pasada fue mi cumpleaños. Mi esposa no me felicitó. Mis padres lo olvidaron, al igual que mis hijos. Fui a trabajar. Ni siquiera mis colegas me felicitaron. Al entrar en mi oficina, mi asistente personal dijo: ""¡Feliz cumpleaños, jefe!"". Me sentí especial. Me invitó a almorzar. Después del almuerzo, me invitó a su apartamento. Fuimos allí. Me dijo: ""¿Te importa si voy al dormitorio un minuto?"". ""Está bien"", dije con ganas. Salió 5 minutos después con un pastel... y mi esposa, mis padres, mis hijos, mis amigos y mis colegas. Todos gritando... ¡SORPRESA! y yo estaba esperando en el sofá... ... ..... ¡DESNUDO...!",,,
spam,"¡Tu oportunidad de participar en un reality show de fantasía! Llama ahora al 08707509020. Solo 20 peniques por minuto. NTT Ltd, PO Box 1327 Croydon CR9 5WB. El 0870 es una llamada nacional de tarifa reducida.",,,
ham,"Ella está bien. Me alegra saber de ti. ¿Cómo estás, querida? Feliz año nuevo.",,,
ham,¿Vas a tener una entrevista en Wipro hoy?,,,
ham,"¿Cuánto mides, princesa?",,,
ham,Dudo que pudieras aguantar 5 veces por noche en cualquier caso...,,,
ham,Jaja... Espero que puedas oír el sonido del recibo... ¡Buena suerte!,,,
ham,Vas a acabar conmigo. Voy a dejar una nota que diga que todo es culpa de Rob. Véngame.,,,
ham,"Proverbio japonés: Si uno puede hacerlo, tú también puedes. Si nadie puede hacerlo, tú debes hacerlo. Versión india: Si uno puede hacerlo, ¡que lo haga! Si nadie puede hacerlo, ¡déjalo! Y finalmente, versión de Kerala: Si uno puede hacerlo, impídele que lo haga. Si nadie puede hacerlo, ¡haz una huelga!",,,
ham,Hoy no trabajo pero tampoco estoy libre... Vaya... ¿Pensabas que trabajabas en la tienda de tu amigo?,,,
ham,"En la vida, cuando te enfrentas a decisiones, simplemente lanza una moneda, no porque resuelva la cuestión, sino porque mientras la moneda está en el aire sabrás lo que tu corazón anhela. Gudni8",,,
ham,¿Sabes por qué Dios creó un espacio entre tus dedos? Para que Aquel que fue hecho para ti venga y llene esos espacios sosteniendo tu mano con AMOR.,,,
ham,Quiero estar allí para poder besarte y sentirte a mi lado.,,,
ham,No estoy nada contento con lo que dices o haces.,,,
spam,Contenido para adultos mayores de 18 años. Tu video estará disponible en breve.,,,
ham,"Vale, eso sería estupendo, si estás seguro. Piensa en lo que quieres hacer: beber, bailar, comer, ir al cine, dentro, fuera, por ahí... ¡Tú decides! ¿Por ahí?",,,
ham,"Lo que quiero decir es que si no le has dicho explícitamente a Nora que conozco a alguien, probablemente no me molestaré.",,,
ham,Te manda saludos y te dice que vuelvas al sur de Tampa (preferiblemente a una fiesta con barriles de cerveza).,,,
ham,Smith desperdicia da. Quiero a Gayle.,,,
ham,"Mamá, te he enviado muchísimos mensajes desde que llegué. Solo quería saber que los estás recibiendo. Que tengas un buen día.",,,
ham,"Vale, mañana alrededor de &lt;#&gt; es",,,
ham,"La empleada doméstica es la asesina, porque el hombre fue asesinado el 1 de enero. Como es día festivo, todas las instituciones gubernamentales están cerradas, incluyendo la oficina de correos. ¿Entiendes?",,,
spam,"TU OPORTUNIDAD DE ESTAR EN UN PROGRAMA DE REALIDAD Y FANTASÍA llama ahora = 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada nacional de tarifa reducida.",,,
ham,"Sí, por primera vez en mucho tiempo. Me acosté poco después de hablar contigo. Me desperté a las 7. ¿Qué tal tu noche?",,,
ham,¡Nos vemos allí!,,,
ham,No entiendo tu mensaje.,,,
ham,"Crucificar es c, no s. Deberías habérmelo dicho antes.",,,
ham,"No sé. Sigues diciendo que no, pero desde que se mudó, no paramos de discutir sobre libertad versus responsabilidad. Y estoy cansada. Tengo tantas otras cosas con las que lidiar que apenas puedo mantenerme entera cuando se le suma esto.",,,
ham,Que le den a Cedar Key y que le den a ella (aunque ven de todas formas).,,,
ham,"A las cinco y veinte dijo: ""¿Este tren ya habrá llegado a Durham o no? Porque estoy en un asiento reservado"".",,,
spam,"Hola chicos. ¿Quieren fotos XXX calientes directamente a su teléfono? Envíen PORN por SMS al 69855, 24 horas gratis y luego solo 50 peniques al día. Para cancelar, envíen STOPBCM SF WC1N3XX",,,
ham,¿Sigues pintando la pared?,,,
spam,"¡Última oportunidad! ¡Consigue hoy mismo tus cupones de descuento por valor de 150 £! ¡Envía un SMS con la palabra SHOP al 85023 ahora! SavaMob, ¡ofertas móviles! Términos y condiciones. SavaMob POBOX84, M263UZ. 3,00 £ Sub. 16",,,
ham,"La impresora es genial. Quiero decir, es guay. El vino es guay.",,,
ham,"Hola, el alquiler de Harish se ha transferido a tu cuenta.",,,
ham,¿Viene ella?,,,
ham,CBE está muy bien hoy en día:) hay muchas tiendas y salas de exposición:) la ciudad está tomando buena forma.,,,
ham,¿Sigues asistiendo a las charlas?,,,
ham,"¡No hay problema, cariño! ¿Cómo estás ahora mismo?",,,
ham,"Vale, yo me encargo.",,,
ham,Supongo que no tuvimos la llamada telefónica el viernes. ¿Podemos asumir que no la tendremos este año?,,,
ham,"Mi batería está baja, cariño.",,,
ham,Shuhui le compró el regalo a Ron: un reloj Swatch...,,,
ham,"Sí, queda bastante, pasaré mañana cuando me levante.",,,
ham,¿Cariño? Dijiste 2 horas y ya han pasado casi 4... ¿Se te ha caído internet?,,,
ham,"Vale, me aseguraré de levantarme antes del mediodía y ver qué pasa.",,,
ham,K...k...ayer estuve en CBE.,,,
ham,Fui a la tienda de ropa de Ganesh.,,,
spam,"pdate_Now - Doble de minutos y 1000 SMS en tarifas Orange. ¡Últimos modelos de Motorola, Sony Ericsson y Nokia, y Bluetooth GRATIS! Llama a MobileUpd8 al 08000839402 o llama a call2optout/!YHL",,,
ham,"¿Recoges tu portátil y luego vas a configurar los ajustes, ¿no?",,,
ham,"Si estás en casa, baja en 5 minutos.",,,
ham,"Vale, debería estar allí a más tardar a las 8, probablemente más cerca de las 7. ¿Están Jay y Tyler de acuerdo o hacemos dos viajes?",,,
ham,Ven después de &lt;DECIMAL&gt; ..ahora estoy limpiando la casa,,,
spam,"Tu saldo actual es de 500 libras. Para maximizar tu ingreso de efectivo, envía efectivo al 86688 (solo 150 peniques por mensaje). CC: 08718720201 PO BOX 114/14 TCR/W1",,,
ham,"Bill, como en: ¿Hay alguna carta para mí? Estoy esperando una de Orange que no es una factura pero que puede que todavía diga Orange.",,,
ham,Dime papá. ¿Cómo está el dolor?,,,
ham,"HOLA CARIÑO, ESPERO QUE HAYAS PASADO UNA BUENA NOCHE. OJALÁ HUBIERA VENIDO. NO PUEDO ESPERAR A VERTE. CON AMOR, FRAN. PD: QUIERO SEXO ANAL SUCIO Y QUIERO UNA ORGÍA DE 10 HOMBRES.",,,
ham,"Ja. Tú tampoco lo sabes. El otro día hice algo ingenioso pero sencillo con peras, perfecto para Navidad.",,,
ham,Holaaaa... ¡Despierta! Dulce mañana te da la bienvenida. Disfruta este día con mucha alegría. Buenos días.,,,
ham,ALRITE,,,
ham,¿Por qué tenemos que quedarnos sentados esperando a que lleguen los días de verano para celebrar? ¡Qué espectáculo tan mágico cuando el mundo se viste de blanco! ¡Ojalá nieve!,,,
spam,¡URGENTE! Tu número de móvil ha ganado un premio de 2000 £ GARANTIZADO. Llama al 09058094454 desde un teléfono fijo. Reclama el premio 3030. Válido solo durante 12 horas.,,,
ham,¿Cómo van ustedes al cine por su zona?,,,
ham,"Lo siento, estoy en la reunión, te llamaré más tarde.",,,
ham,"No tenías que decírmelo... ahora estoy pensando. Además, va a detener todas tus carreras.",,,
ham,"Por favor, envíen a alguien a nuestro piso antes de hoy.",,,
spam,"¡Lo sentimos! Aún no puedes darte de baja. El paquete de ofertas de THE MOB tiene una duración mínima de 54 semanas. Por favor, vuelve a enviar la solicitud después de que expire. Responde con THEMOB HELP para obtener más información.",,,
ham,"Nada, lor... Un poco aburrido también... Entonces, ¿por qué no te vas temprano a casa a dormir hoy?",,,
ham,¿A qué hora debo decirle a mi amigo que esté disponible?,,,
ham,"Sí, estará bien. Te quiero. Cuídate.",,,
ham,Gracias chikku..:-) buenas noches :-*,,,
ham,¿Está xy en tu coche cuando vengas a recogerme?,,,
ham,"Gracias por el tiempo que hemos pasado juntos, ¡ha sido genial! ¡Eres mi bebé y todo lo que quiero eres tú!",,,
ham,"Oye, ¿podríamos recoger algo esta noche?",,,
ham,Yo no lo he enviado. Él me lo puede enviar.,,,
ham,"Bien, simplemente estoy sentado.",,,
ham,"Ese es un regalo de Dios para las aves, así como los humanos tenemos algún don natural de Dios.",,,
ham,¿Vienes hoy a clase?,,,
ham,Ya terminé. Solo estudio en la biblioteca.,,,
ham,Vale... Disfruta de tus programas...,,,
ham,Cualquier cosa...,,,
ham,"¿Qué sería de mí sin mi amor? Solo pensarlo podría destrozarme y no quiero volverme loco, pero todo hombre necesita a su mujer xxxxxxxx",,,
ham,¿Qué está haciendo mi querido? ¿Durmiendo?,,,
ham,Hola' Prueba en <#> rd ....,,,
ham,Solo el 2% de los estudiantes resolvieron esta pregunta CAT en el examen... 5+3+2= <#> 9+2+4= <#> 8+6+3= <#> entonces 7+2+5=????? Dime la respuesta si eres brillante... 1 cosa. Tengo la respuesta.,,,
ham,"¿Conoces a alguien que pueda comprar licor? Nuestro proveedor nos dejó plantados y ahora mismo, si no conseguimos contactar con alguien, solo nos queda tomar 4 Loko toda la noche.",,,
ham,"Sí, y su amiga. Voy a encontrarme con mi amiga a las 7:30.",,,
ham,"Sí, tenemos uno preparado para nosotros.",,,
ham,"Y deja de preguntarte ""¿¡Alguna vez dejará de mandarme mensajes?!"" porque te mandaré mensajes cuando quiera porque eres MÍO... *ríe*""",,,
ham,"Jaja, sí, lo hice ayer. Ya tengo mi chimenea. Ahora es solo otro ícono que está ahí para mí.",,,
ham,¡Oye! Ya reservé la clase de pilates y yoga... Jaja,,,
ham,¿Estás bien? ¿Qué te pasó para comportarte así?,,,
spam,Tienes 1 mensaje nuevo. Llama al 08712400200.,,,
ham,"Mi supervisora ​​me encontró una, creo que entre sus estudiantes. Todavía no le he preguntado. Te cuento cuando le pregunte.",,,
ham,"Hola. No hay noticias sobre el trabajo, ¡me hacen esperar una quinta semana! Sí, me apetece comer comadrejas... Sigo en Exeter, pero estaré en casa sobre las 3.",,,
ham,Ningún mensaje... ninguna respuesta... ¿qué pasó?,,,
spam,"Tenemos un mensaje pendiente de recogida. Para recogerlo, llame al 08718723815.",,,
ham,"Hola cariño, perdón por no haberte contestado antes. Gary puede venir a arreglarlo porque cree saber qué es, pero no llega tan lejos como un Ptbo y dice que costará $lt;#&gt; dólares. No sé si sería más barato buscar a alguien allí. Ahora mismo no tenemos ninguna máquina de segunda mano, dime qué quieres hacer, cariño.",,,
ham,"¡Que sean 3! ¡¿4, joder?! x",,,
ham,Déjalo. Siempre serás ignorante.,,,
ham,"No, pero iré a la escuela el viernes bastante temprano porque mi hermana tiene trabajo por la mañana :-)",,,
ham,en Bruce B. Downs y Fletcher ahora,,,
ham,¿Dónde estás? Dijiste que estarías aquí cuando despertara... :-(,,,
ham,"Hola, ahora estoy libre, puedes llamarme.",,,
ham,"Dime quién es, por favor :-)",,,
spam,¡URGENTE! Su teléfono móvil ganó un premio de 1500 € por llamada gratuita el 27/6/03. ¡Este es nuestro último intento de contactarle! Llame al 08714714011.,,,
ham,Creo que tendré que faltar. Doy clases hasta las doce y luego tengo una conferencia a las dos. ¡Maldito trabajo!,,,
ham,"Tendría que comprobarlo, pero solo queda como para un tazón.",,,
ham,"Sí, había muchos dulces.",,,
ham,"Lo haría, pero aún estoy a gusto. Y agotada de anoche. Nadie fue a la escuela ni al trabajo. Todo está cerrado.",,,
spam,"Tienes un admirador secreto. Revela quién piensa que eres tan especial. Llama al 09065174042. Para darte de baja, responde REVELAR STOP. 1.50 por mensaje recibido. Atención al cliente: 07821230901",,,
ham,¡Zumbido! *sonríe* ¿Te zumbé el culo? ¿Te zumbé el pecho? ¿Te zumbé el pene? ¿Dónde guardas el teléfono? ¿Está encendido el vibrador? ¿Sentiste que temblaba?,,,
ham,"Señor, envíelo al correo grupal, revíselo.",,,
ham,"Estoy haciendo la introducción que cubre las tendencias energéticas y pros y contras... Breve descripción de la fusión nuclear y también una breve historia de la iteración y el jet, tengo unas 7 páginas y media.",,,
ham,¡NINGUNO! ¡NO LO CONOZCO! ¡MIERDA!,,,
ham,No sabes que me jabo abi.,,,
spam,"¿Te has dado cuenta alguna vez de que, cuando conduces, cualquiera que vaya más despacio que tú es un idiota y cualquiera que vaya más rápido que tú es un loco?",,,
ham,Todavía no lo había hecho... ya sapna tía manege y'day hogidhe...chinnu full débil y swalpa black agidhane...,,,
ham,"¿Te estás portando bien, cariño? :)",,,
ham,La transacción NEFT con número de referencia &lt;#&gt; por Rs. &lt;DECIMAL&gt; se ha acreditado en la cuenta del beneficiario el &lt;#&gt; a las &lt;HORA&gt; : &lt;#&gt;,,,
ham,"Principalmente de tipo deportivo... como fútbol, ​​críquet...",,,
ham,"Mi cabeza se está hinchando, oh. Gracias por alegrarme el día.",,,
ham,Deberías hacer una lista de Facebook.,,,
ham,"Máxima confianza: Todos los profesores de aeronáutica fueron llamados y se les pidió que se sentaran en un avión. Después de sentarse, les dijeron que el avión había sido construido por sus estudiantes. Todos salieron corriendo del avión... Pero solo uno no se movió... Dijo: ""Si lo construyeron mis estudiantes...""",,,
ham,"Sary solo necesitaba que Tim le diera en los huevos y le dolió mucho, ¡así que me lo dijo!",,,
ham,"¡Feliz Año Nuevo, Princesa!",,,
ham,"Te enviaré un mensaje a Carlos y te avisaré, espera un momento.",,,
ham,"¡No te preocupes, * es fácil una vez que tienes los ingredientes!",,,
ham,"Yo también te amo mi pequeña campanita pocy Lo siento, pero te amo",,,
ham,"Vale, ya voy, ¿estás en Castor?",,,
ham,Yar lor... Sigue lloviendo sin parar... ¿O quieres ir a otro sitio?,,,
spam,"¡Oferta de Navidad! Últimos modelos de Motorola, Sony Ericsson y Nokia, ¡y Bluetooth o DVD GRATIS! Minutos dobles y 1000 SMS en Orange. Llama a MobileUpd8 al 08000839402 o llama a call2optout/4QF2.",,,
ham,"¿Qué quieres decir con que casi terminaste? ¿Terminaste de dormir? Pero pensé que ibas a tomar una siesta... Sí, la envié, así que la recogeré alrededor de las 4 y algo...",,,
ham,"7 maravillas en mi mundo 7. Tú 6. Tu estilo 5. Tu sonrisa 4. Tu personalidad 3. Tu naturaleza 2. Tu SMS y 1. Tu encantadora amistad... buenos días, querido/a.",,,
ham,"¿Esta noche? Sí, me apunto.",,,
ham,"¿Qué debo comer para el almuerzo, señor?",,,
ham,"Dijo que se echó a reír cuando te volvió a ver. Probablemente serías la primera persona en morir por NVQ, ¡pero piensa en todo lo que podrías ganar!",,,
ham,Sin tiempo de descanso uno... ¿Cómo... salgo y busco mis cosas fr �_?,,,
spam,¡Responde para ganar 100 £ cada semana! ¿Qué deporte profesional practica Tiger Woods? Envía STOP al 87239 para cancelar el servicio.,,,
ham,"Estoy ahí y puedo verte, pero ¿tú no puedes verme? ¿Quizás deberías reiniciar ym? Vi el revuelo.",,,
ham,¿Todavía tienes el molinillo?,,,
spam,¡El tono polifónico número 1 para tu grupo cada semana! Solo envía PT2 al 87575. ¡Primer tono GRATIS! Así que envía un mensaje ahora y cuéntaselo a tus amigos. 150p/tono. 16 respuestas HL 4info,,,
ham,"El amor no es una decisión, es un sentimiento. Si pudiéramos decidir a quién amar, la vida sería mucho más sencilla, pero también menos mágica.",,,
spam,"FANTASÍAS CALIENTES EN DIRECTO llama ahora al 08707509020 Solo 20 peniques por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada de tarifa nacional",,,
ham,K.i no te vi.:)k:)¿Dónde estás ahora?,,,
ham,Así que estoy haciendo una lista de compradores.,,,
ham,"Ni idea, supongo que lo resolveremos una hora después de la hora prevista de salida, ya que, como siempre, a nadie le interesa resolver nada antes del último segundo.",,,
ham,"Mm, no estoy del todo seguro de haber entendido ese texto, pero bueno. Ho. ¿Qué fin de semana?",,,
ham,"Lanzaron camisetas de San Valentín y cuando te las pones, dejan la mitad inferior de tu cuerpo al descubierto en lugar de la ropa interior blanca.",,,
ham,No lo sé... está viendo una película en la computadora...,,,
ham,No antes del jueves,,,
ham,"Oh, entonces tu teléfono me llamó pero se cortó la llamada.",,,
ham,La identificación solo importa al entrar desde fuera del campus.,,,
spam,"Este mensaje es gratuito. ¡Bienvenido al nuevo y mejorado club de sexo y encuentros sexuales al aire libre! Para cancelar la suscripción a este servicio, responde STOP. msgs@150p Solo para mayores de 18 años.",,,
ham,"Excelente, veré cuáles son los planes de Riley.",,,
ham,Lo veré en media hora.,,,
spam,"Has ganado entradas para la FINAL DE LA COPA EURO 2004 o 800 € en efectivo. Para cobrar, llama al 09058099801 b4190604, POBOX 7876150ppm.",,,
ham,¿Eres uno de ellos?,,,
ham,"Hola Wesley, ¿cómo has estado?",,,
ham,"Ah, ya ves. Tienes que conocer la jerga. ¡Te diré qué demonios es cuando termine de prepararlo!",,,
spam,"Préstamos para cualquier fin: de 500 £ a 75 000 £. Propietarios e inquilinos bienvenidos. ¿Te han denegado un préstamo anteriormente? Aún podemos ayudarte. Llama gratis al 0800 1956669 o envía un SMS con la palabra ""help"".",,,
spam,Actualización_Ahora - Alquiler de línea naranja a mitad de precio durante 12 meses: 400 minutos... Llama a MobileUpd8 al 08000839402 o llama a call2optout=J5Q,,,
ham,Imagina la vida SIN MÍ... mira... ¿Qué tan rápido me buscas? No te preocupes... siempre estoy ahí para molestarte... Buenas noches... :),,,
ham,"Buenos días, ¿a alguien le duele la cabeza? :-)",,,
ham,"Sí, no hay problema; obviamente, lo de anoche te está pasando factura... Hablamos pronto.",,,
spam,"Pornografía hardcore ilimitada GRATIS directamente a tu móvil. Envía PORN al 69200 y obtén acceso GRATIS durante 24 horas, luego se cobrará a 50 peniques por día. Envía Stop para salir. Este mensaje es gratis.",,,
ham,Puede que vaya a la escuela. Ahora mismo estoy en el salón muy aburrido.,,,
ham,"<#> minutos, pero primero tuve que parar en algún sitio.",,,
ham,"<#> se acerca rápidamente. Así que, te deseo un muy Feliz Año Nuevo Feliz Sankranti Feliz Día de la República Feliz Día de San Valentín Feliz Shivratri Feliz Ugadi Feliz Día de los Inocentes Feliz Primero de Mayo Feliz Día de la Independencia, Feliz Día de la Amistad, Día de la Madre, Día del Padre, Día del Maestro, Día del Niño, y FELIZ CUMPLEAÑOS para ti. Feliz Festival de Ganesh Feliz Dasara Feliz Diwali Feliz Navidad <#> Buenos días, tardes, noches. Recuerda que SOY el primero en DESEARTE TODO ESTO... tuyo Raj",,,
ham,Una de las alegrías de la vida es despertar cada día con la idea de que en algún lugar hay alguien que se preocupa lo suficiente como para enviar un cálido saludo matutino.,,,
ham,No entendí la segunda parte de ese mensaje.,,,
ham,¿A qué hora quieres que nos veamos más tarde?,,,
ham,Te agradezco muchísimo todo lo que haces con tanta generosidad. Te quiero mucho.,,,
ham,"Estoy en el rodaje, te llamaré más tarde.",,,
ham,¿Cómo te atreves a cambiar mi anillo?,,,
ham,"Eres una chica muy, muy, muy mala. O una señorita.",,,
ham,"Yo también te quiero, pero intenta administrar mejor tu dinero, cariño. Gary se volvería loco si lo supiera.",,,
ham,"¿Qué parte de ""no inicies"" no entiendes?",,,
ham,Ya terminé de almorzar. ¿Ya te despertaste?,,,
ham,¿Sigues en el partido?,,,
ham,"Tienes talento, pero lo estás desperdiciando.",,,
ham,¿Cuál es tu récord en una sola noche? :),,,
ham,"Además, señor, le envié un correo electrónico con instrucciones para acceder al portal de pagos de la USC. Le enviaré otro mensaje para explicarle cómo están las cosas en su país. Que tenga un buen fin de semana.",,,
ham,Me avisarás porque regresa de vacaciones ese día. Viene. No olvides enviarme un mensaje con tu número.,,,
ham,"Es broma, lar... :-) Depende de qué teléfono pueda conseguir mi padre lor...",,,
ham,"Vale, avísame qué pasa.",,,
ham,Prepárate para <#> pulgadas de placer...,,,
ham,"Raji, por favor, hazme un favor. Por favor, transmítele mis felicitaciones de cumpleaños a Nimya. Por favor. Hoy es su cumpleaños.",,,
ham,;-) Vale. Me siento como John Lennon.,,,
ham,Porque Darren dice �_ considerando a Mah así que pregunto �_...,,,
ham,"No me molestas, pero tienes que confiar en mis respuestas. Por favor.",,,
ham,Les deseamos a usted y a su familia una Feliz Navidad y un Feliz Año Nuevo por adelantado.,,,
ham,"Un día, un cangrejo corría por la orilla del mar. Las olas llegaron y borraron las huellas del cangrejo. El cangrejo preguntó: «¿Por qué, siendo mi amigo, borras mis hermosas huellas?». Las olas respondieron: «¡Un zorro seguía tus huellas para atraparte! Por eso las borré :) La amistad nunca te defrauda :-) Buenas noches.",,,
ham,"Vale, ¿a qué hora quieres que suba?",,,
ham,¡Esclavo! ¿Dónde estás? ¿Tengo que llamarte todo el tiempo ahora? ¿Ya no quieres venir a mí por tu propia voluntad?,,,
ham,"Tu cuenta a las 3 es de 33,65 £, ¡así que no está mal!",,,
ham,"Avísame cómo evoluciona en las próximas 6 horas. Podría ser apendicitis, pero estás fuera de ese rango de edad. Sin embargo, no es imposible. Así que relájate y avísame en 6 horas.",,,
ham,"Hola, sí, acabo de salir del baño y necesito arreglarme el pelo, así que subiré cuando termine, ¿vale?",,,
ham,¿Qué tiempo hace por allí?,,,
ham,"Vale. Aunque aquí no hay mucho que hacer. Viernes de H&M, ¡qué ganas! ¡No sé qué demonios voy a hacer durante las próximas tres semanas! Convertirme en una vaga... ¡Ah, espera, ya lo he hecho!",,,
ham,Muere... Ahora tengo flequillo de nuevo...,,,
ham,"Jaja, no saben nada de mi increíble teléfono. Podría borrarlo ahora mismo si quisiera.",,,
ham,De acuerdo,,,
ham,"Una pregunta genial con una respuesta adorable: Alguien le preguntó a un chico ""¿Cómo te va la vida?"". Él sonrió y respondió: ""¡Ella está bien!"". Buenas noches.",,,
ham,"Por favor, abandona este tema... disculpa por decirlo.",,,
ham,"Por favor, envíame el nombre correcto.",,,
ham,¿Qué pasó con nuestra cita?,,,
spam,"Concurso de la serie EastEnders. ¿Con qué flor se compara Dot? D = violeta E = tulipán F = lirio Envía D, E o F al 84025 AHORA para tener la oportunidad de GANAR 100 € en efectivo WKENT/150 €P16+",,,
ham,¡La página web no está disponible!,,,
ham,"Acabo de despertar. ¡Uf, qué tarde! Pero no me dormí hasta las 8 de la mañana :/",,,
spam,Ahora te has dado de baja de todos los servicios. ¡Recibe montones de chicas guapas o chicos sexys directamente en tu teléfono! Visita http://gotbabes.co.uk. Sin suscripciones.,,,
ham,"Estimados todos, como sabemos, hoy es el cumpleaños de nuestro querido Gopalettan. Estamos planeando darle un pequeño obsequio ese día. Quienes deseen participar son bienvenidos. Comuníquense con nuestro equipo administrativo para obtener más detalles.",,,
ham,"K...k...¿a partir de mañana empieza, eh?",,,
ham,"¿De qué estás hablando, de madrugada? ¡Aquí donde estás ya casi es mediodía!",,,
ham,Bien. ¿Te acuerdas de mí?,,,
spam,"Hola nena, soy Jordan, ¿cómo estás? He vuelto del extranjero y me siento sola, escríbeme si quieres charlar xxSP visionsms.com Envía un mensaje de texto con la palabra ""stop"" para detenerlo. Coste: 150 peniques. 08712400603",,,
ham,Vale. ¿Cuántos debo comprar?,,,
ham,"Me parece bien, mantenme al tanto.",,,
spam,"¡Conviértete en agente de la mafia y consigue un móvil nuevo! ¡Y muchas más sorpresas! Para más información, envía un SMS con la palabra MAT al 87021.",,,
ham,"Vale. Entonces, abril. ¡Qué ganas!",,,
ham,"Chico, será mejor que salgas de aquí rápido.",,,
ham,¿Quieres que nos veamos el sábado? ¿Trabajamos el sábado?,,,
ham,"Ya estoy aquí, pero tengo que esperar hasta las 2 para que me recoja el autobús.",,,
ham,¿Aparte de la que te conté ayer?,,,
ham,"Vale, lo... ¿Pero comprar qué?",,,
ham,Alguien debería ir a Andros y robar hielo.,,,
ham,No lo sé. No le he escrito últimamente.,,,
ham,Llévanos de compras y Mark distraerá a Isaías.=D,,,
ham,"Mamá, espero que estés teniendo un día estupendo. Espero que este mensaje te encuentre bien y llena de vida. Que tengas un buen día. Abiola",,,
ham,No tengo sensibilidad en el pie ni en el pene.,,,
ham,"Vale, pero yo pensaba que eras el experto.",,,
ham,*suspiro profundo* ... Te extraño :-( ... Me sorprende mucho que aún no hayas ido al cibercafé a verme ... ¿No me extrañas?,,,
ham,S.s:) El rol de I Thinl es como el de Sachin. Solo está de pie. Los demás tienen que golpear.,,,
ham,"Que tengas un buen viaje a la India. Y que la luz ilumine a todos, no solo con el proyecto, sino con todos los que tengan la suerte de verte sonreír. Adiós. Abiola",,,
ham,"Y, lo que es muy importante, todo lo que discutimos es solo entre tú y yo.",,,
ham,"Vale, vale :) ¿Qué tal tu proceso de entrenamiento?",,,
ham,Ok lor. Necesito ir a Payoh por un tiempo para devolver algo que quieres enviarme allí o qué.,,,
ham,En el aparcamiento,,,
ham,Ojalá estuviera contigo. Abrazándote fuerte. Haciéndote ver lo importante que eres. Lo mucho que significas para mí... Lo mucho que te necesito... En mi vida...,,,
ham,Así que pregunté cómo estaba Anthony. Papá. Y tu novio.,,,
ham,"¡Cuando quiero enamorarme de mis libros, mi cama cae enamorada de mí...! ''. Yen madodu, nav pretsorginta, nammanna pretsovru importante siempre....!!:) Dios míoB-).",,,
ham,Hoy es domingo... el domingo es feriado... así que no se trabaja...,,,
ham,"Voy a bañarme, pondré la llave en la ventana :-)",,,
spam,EL SEÑOR DE LOS ANILLOS: EL RETORNO DEL REY ya está disponible en tiendas. Responde LOTR antes del 2 de junio y participa para ganar 4 CDs de la banda sonora de LOTR. Responde STOP para finalizar el chat.,,,
ham,"Querido/a, cuídate. Ya estoy llegando a casa. Te quiero mucho.",,,
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,,
ham,"¿Has emigrado o algo así? Bueno, quizás las 5:30 era demasiado optimista...",,,
ham,"Olol, imprimí una publicación de un foro de un chico con el mismo problema que se solucionó cambiando la tarjeta gráfica. Ojalá no lo ignoren.",,,
ham,"Caminamos desde la casa de mi madre. A la derecha en Stagwood Pass, a la derecha en Winterstone, a la izquierda en Victors Hill. La dirección es <#>",,,
ham,"Oye, ¿estás en JP y tienes hambre como un cabrón?",,,
ham,Todo esto me parece espeluznante y una locura.,,,
ham,Ok... no recibí tu mensaje...,,,
